<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
010424;070100;92.44;92.44;92.3175;92.3625;956000
010424;070200;92.3825;92.4525;92.375;92.4525;633000
010424;070300;92.4075;92.4125;92.35;92.4125;1022000
010424;070400;92.4025;92.4025;92.4025;92.4025;50000
010424;070500;92.3975;92.4;92.3525;92.3525;201000
010424;070600;92.35;92.385;92.3425;92.385;559000
010424;070700;92.385;92.385;92.385;92.385;53000
010424;070800;92.3875;92.3875;92.3875;92.3875;50000
010424;070900;92.3525;92.3525;92.35;92.35;75000
010424;071000;92.3675;92.3675;92.3625;92.3625;144000
010424;071100;92.365;92.365;92.365;92.365;27000
010424;071200;92.3475;92.3475;92.3475;92.3475;10000
010424;071300;92.345;92.3675;92.345;92.3675;305000
010424;071400;92.3675;92.3925;92.36;92.36;444000
010424;071600;92.3575;92.3575;92.3575;92.3575;58000
010424;071700;92.36;92.36;92.36;92.36;100000
010424;071800;92.35;92.3525;92.345;92.35;1248000
010424;071900;92.35;92.355;92.28;92.2875;1468000
010424;072100;92.305;92.33;92.305;92.33;182000
010424;072200;92.31;92.31;92.27;92.27;273000
010424;072300;92.265;92.3125;92.265;92.3125;14000
010424;072400;92.2975;92.2975;92.2525;92.2525;300000
010424;072700;92.29;92.29;92.29;92.29;58000
010424;072800;92.28;92.28;92.2525;92.2525;228000
010424;072900;92.27;92.295;92.245;92.2625;1106000
010424;073000;92.2425;92.2425;92.24;92.24;55000
010424;073400;92.2425;92.2525;92.2425;92.2525;250000
010424;073500;92.245;92.245;92.2425;92.2425;103000
010424;073700;92.2425;92.2425;92.2425;92.2425;110000
010424;073900;92.245;92.2475;92.245;92.2475;50000
010424;074000;92.2475;92.2575;92.2475;92.2575;155000
010424;074100;92.26;92.26;92.26;92.26;50000
010424;074500;92.25;92.25;92.25;92.25;80000
010424;074600;92.2425;92.2425;92.2425;92.2425;79000
010424;074700;92.245;92.245;92.245;92.245;32000
010424;074800;92.26;92.26;92.26;92.26;50000
010424;075000;92.26;92.26;92.26;92.26;50000
010424;075100;92.2625;92.2875;92.2625;92.2875;604000
010424;075400;92.2875;92.2975;92.2875;92.2975;200000
010424;080000;92.3075;92.3225;92.3075;92.3225;323000
010424;080100;92.3425;92.3625;92.3425;92.355;593000
010424;080200;92.36;92.365;92.36;92.365;150000
010424;080300;92.365;92.37;92.365;92.37;225000
010424;080500;92.3725;92.3725;92.35;92.3575;200000
010424;080600;92.34;92.34;92.34;92.34;50000
010424;080700;92.33;92.335;92.3275;92.335;385000
010424;081000;92.3275;92.3275;92.3275;92.3275;3000
010424;081100;92.31;92.31;92.31;92.31;50000
010424;081200;92.29;92.29;92.29;92.29;50000
010424;081400;92.3175;92.3275;92.3175;92.3275;431000
010424;081600;92.3275;92.3375;92.3275;92.3375;159000
010424;081800;92.3375;92.3375;92.3375;92.3375;13000
010424;082600;92.33;92.33;92.33;92.33;5000
010424;082900;92.34;92.3425;92.34;92.3425;100000
010424;083300;92.3475;92.3525;92.3475;92.3525;200000
010424;083400;92.37;92.375;92.37;92.375;200000
010424;083600;92.38;92.39;92.38;92.39;315000
010424;083700;92.39;92.3925;92.39;92.3925;250000
010424;084100;92.39;92.39;92.385;92.385;155000
010424;084200;92.395;92.3975;92.395;92.3975;85000
010424;084300;92.4075;92.4125;92.395;92.4125;202000
010424;084500;92.41;92.4275;92.405;92.405;363000
010424;084600;92.4225;92.4225;92.4225;92.4225;50000
010424;084700;92.425;92.4725;92.425;92.425;1506000
010424;084800;92.42;92.42;92.42;92.42;40000
010424;085100;92.415;92.415;92.415;92.415;1000
010424;085200;92.415;92.415;92.415;92.415;49000
010424;085600;92.41;92.41;92.405;92.405;150000
010424;085700;92.405;92.41;92.405;92.41;469000
010424;085800;92.4125;92.415;92.4125;92.415;59000
010424;085900;92.41;92.41;92.41;92.41;50000
010424;090100;92.385;92.3975;92.37;92.38;637000
010424;090200;92.385;92.385;92.3825;92.385;150000
010424;090300;92.385;92.385;92.3825;92.3825;101000
010424;090400;92.3825;92.385;92.3825;92.385;250000
010424;090500;92.385;92.3875;92.385;92.3875;100000
010424;090700;92.385;92.39;92.385;92.39;83000
010424;090800;92.3875;92.3875;92.3875;92.3875;50000
010424;090900;92.385;92.385;92.335;92.335;899000
010424;091000;92.34;92.3525;92.325;92.325;573000
010424;091100;92.325;92.325;92.315;92.32;181000
010424;091200;92.32;92.3225;92.32;92.32;160000
010424;091300;92.3275;92.3525;92.325;92.3525;526000
010424;091400;92.34;92.3575;92.34;92.3575;359000
010424;091500;92.35;92.35;92.34;92.34;300000
010424;091600;92.34;92.36;92.34;92.36;707000
010424;091700;92.34;92.345;92.34;92.345;400000
010424;091800;92.34;92.34;92.34;92.34;52000
010424;091900;92.34;92.34;92.34;92.34;1000
010424;092000;92.3525;92.3525;92.3525;92.3525;50000
010424;092300;92.36;92.37;92.36;92.37;400000
010424;092400;92.36;92.36;92.36;92.36;4000
010424;092500;92.37;92.37;92.37;92.37;59000
010424;092600;92.345;92.37;92.345;92.37;53000
010424;092700;92.3775;92.3875;92.3775;92.3875;625000
010424;092800;92.385;92.385;92.375;92.375;71000
010424;092900;92.3875;92.39;92.3875;92.39;69000
010424;093000;92.38;92.38;92.38;92.38;48000
010424;093200;92.38;92.38;92.3775;92.3775;100000
010424;093300;92.3975;92.3975;92.3975;92.3975;50000
010424;093400;92.3925;92.3925;92.37;92.37;105000
010424;093600;92.3875;92.3875;92.3775;92.3775;57000
010424;093700;92.37;92.38;92.3575;92.3725;416000
010424;093800;92.3725;92.3725;92.345;92.3475;759000
010424;093900;92.3475;92.355;92.3225;92.345;1926000
010424;094000;92.345;92.345;92.335;92.34;618000
010424;094100;92.3525;92.3575;92.3525;92.3525;383000
010424;094200;92.345;92.345;92.31;92.315;2982000
010424;094300;92.315;92.325;92.295;92.325;2886000
010424;094400;92.335;92.335;92.335;92.335;150000
010424;094500;92.3275;92.355;92.3275;92.355;550000
010424;094600;92.335;92.335;92.33;92.33;55000
010424;094800;92.33;92.33;92.33;92.33;60000
010424;094900;92.3325;92.3475;92.3325;92.335;602000
010424;095000;92.3325;92.345;92.3325;92.345;222000
010424;095100;92.335;92.3375;92.3275;92.3275;302000
010424;095200;92.3375;92.3375;92.3375;92.3375;98000
010424;095300;92.34;92.34;92.34;92.34;53000
010424;095400;92.3425;92.3425;92.33;92.3325;491000
010424;095500;92.345;92.35;92.3325;92.3325;550000
010424;095900;92.335;92.335;92.32;92.32;1306000
010424;100000;92.305;92.305;92.295;92.305;530000
010424;100100;92.3075;92.315;92.3;92.315;400000
010424;100200;92.315;92.315;92.2725;92.295;1936000
010424;100300;92.295;92.295;92.27;92.27;1157000
010424;100400;92.27;92.2725;92.24;92.24;2331000
010424;100500;92.2425;92.28;92.235;92.28;816000
010424;100600;92.28;92.3;92.28;92.295;1061000
010424;100700;92.2925;92.2975;92.29;92.2975;878000
010424;100800;92.295;92.295;92.285;92.2875;809000
010424;100900;92.2875;92.3225;92.285;92.3225;1437000
010424;101000;92.3225;92.325;92.3025;92.3025;355000
010424;101100;92.3;92.3;92.26;92.26;1086000
010424;101200;92.2575;92.2575;92.21;92.22;2604000
010424;101300;92.2125;92.2225;92.19;92.215;1252000
010424;101400;92.2125;92.2325;92.2;92.2325;1083000
010424;101500;92.245;92.2525;92.24;92.25;328000
010424;101600;92.255;92.27;92.2525;92.27;485000
010424;101700;92.2675;92.28;92.26;92.28;820000
010424;101800;92.28;92.305;92.2675;92.3025;4389000
010424;101900;92.3025;92.3275;92.3025;92.315;3546000
010424;102000;92.305;92.315;92.295;92.315;372000
010424;102100;92.315;92.315;92.2725;92.285;1104000
010424;102200;92.285;92.2925;92.2625;92.2925;1515000
010424;102300;92.2875;92.2975;92.27;92.27;1361000
010424;102400;92.28;92.2825;92.2675;92.2725;893000
010424;102500;92.2725;92.295;92.265;92.295;1824000
010424;102600;92.3;92.32;92.2975;92.2975;1879000
010424;102700;92.3025;92.3225;92.2975;92.3025;1700000
010424;102800;92.3025;92.32;92.2725;92.2725;1636000
010424;102900;92.2725;92.2875;92.27;92.2875;1420000
010424;103000;92.2825;92.29;92.2575;92.2775;3108000
010424;103100;92.28;92.3025;92.2675;92.2975;1759000
010424;103200;92.2975;92.3125;92.2775;92.3125;2025000
010424;103300;92.32;92.32;92.2725;92.2875;1779000
010424;103400;92.2925;92.3175;92.2875;92.31;1052000
010424;103500;92.315;92.32;92.2625;92.2925;2947000
010424;103600;92.2925;92.315;92.2875;92.31;1872000
010424;103700;92.3075;92.315;92.305;92.305;989000
010424;103800;92.31;92.3425;92.31;92.3425;1750000
010424;103900;92.335;92.3425;92.31;92.3125;2643000
010424;104000;92.32;92.32;92.29;92.3;3427000
010424;104100;92.3025;92.315;92.2875;92.2875;2100000
010424;104200;92.2925;92.3225;92.2925;92.3125;1368000
010424;104300;92.3125;92.3175;92.31;92.3175;1079000
010424;104400;92.315;92.3225;92.3125;92.3225;1777000
010424;104500;92.325;92.3275;92.3125;92.3225;1628000
010424;104600;92.3275;92.34;92.3225;92.34;5235000
010424;104700;92.3325;92.3575;92.3325;92.355;8972000
010424;104800;92.35;92.3575;92.34;92.3475;1097000
010424;104900;92.355;92.36;92.35;92.355;1438000
010424;105000;92.355;92.375;92.3525;92.375;3389000
010424;105100;92.37;92.385;92.365;92.3825;1726000
010424;105200;92.3825;92.3825;92.3525;92.3625;3824000
010424;105300;92.3625;92.3675;92.3525;92.3525;941000
010424;105400;92.3525;92.3675;92.35;92.3675;1033000
010424;105500;92.365;92.37;92.3575;92.3675;1602000
010424;105600;92.3675;92.375;92.36;92.365;2167000
010424;105700;92.3675;92.37;92.3475;92.3475;1496000
010424;105800;92.3475;92.3625;92.3475;92.3625;1233000
010424;105900;92.3525;92.3625;92.3525;92.36;924000
010424;110000;92.355;92.36;92.3425;92.3425;974000
010424;110100;92.3425;92.355;92.34;92.3475;1688000
010424;110200;92.3425;92.3475;92.3325;92.34;1284000
010424;110300;92.34;92.345;92.33;92.335;1087000
