<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
310324;210100;94.13;94.13;94.13;94.13;99
310324;210200;94.19;94.19;93.79;93.79;115.52766161
310324;210300;94.04;94.04;94.01;94.01;201
310324;210500;94.07;94.07;93.95;93.95;140
310324;210600;93.91;93.91;93.91;93.91;72
310324;210700;94;94;94;94;31.97642543
310324;210800;94;94;94;94;13.73905896
310324;210900;94;94;94;94;15.42138004
310324;211000;94;94;94;94;32.74759668
310324;211100;94;94;93.79;94;266.59527733
310324;211200;93.92;93.92;93.92;93.92;58
310324;211300;93.84;93.84;93.84;93.84;107
310324;211800;93.79;94.03;93.79;93.83;206.41662552
310324;212000;93.79;93.79;93.79;93.79;35.21975056
310324;212500;93.8;93.8;93.8;93.8;41.7793177
310324;213200;93.8;93.8;93.8;93.8;42.92731494
310324;213300;93.84;94.22;93.84;94.22;84.42198932
310324;213400;93.95;93.95;93.95;93.95;90
310324;213500;94.12;94.12;94.08;94.08;159
310324;213600;94.12;94.12;94.12;94.12;74
310324;213700;94.02;94.03;94.02;94.03;170
310324;213900;94.1;94.35;94.1;94.35;202.21310165
310324;214000;94.36;94.36;94.36;94.36;71
310324;214100;94.37;94.38;94.37;94.38;185
310324;214200;94.39;94.39;94.39;94.39;74
310324;214300;94.4;94.4;94.4;94.4;106
310324;214400;94.38;94.38;94.38;94.38;96
310324;214600;94.45;94.46;94.35;94.35;79.30371576
310324;214700;94.41;94.41;94.41;94.41;98
310324;214800;94.42;94.42;94.39;94.39;150
310324;215000;94.4;94.4;94.4;94.4;111
310324;215100;94.39;94.39;94.39;94.39;90
310324;215200;94.42;94.42;94.42;94.42;84
310324;215300;94.39;94.39;94.39;94.39;107
310324;215400;94.41;94.41;94.41;94.41;77
310324;215500;94.35;94.35;94.35;94.35;0.88914041
310324;215600;93.8;93.8;93.8;93.8;4.38869861
310324;215800;93.8;93.8;93.8;93.8;2.1064014
310324;215900;93.8;93.8;93.8;93.8;26.75357343
310324;220300;93.79;94.11;93.79;94.11;82.66
310324;220400;94.2;94.2;93.79;93.79;189.76500588
310324;220500;93.78;94.14;93.78;94.14;167.62492533
310324;220600;94;94;93.78;93.78;185.73795136
310324;220700;93.78;93.78;93.78;93.78;1973.4093997
310324;220900;94.04;94.04;94.04;94.04;80
310324;221000;94.17;94.17;94.17;94.17;89
310324;221100;94.14;94.14;94.14;94.14;66
310324;221200;94.1;94.1;94.02;94.02;186
310324;221300;94.16;94.16;94.16;94.16;84
310324;221400;94.1;94.1;94.1;94.1;72
310324;221500;94.08;94.24;94.08;94.24;195
310324;221600;93.76;94.08;93.76;94.08;102.02721119
310324;221700;94.18;94.18;94.18;94.18;99
310324;221800;93.96;94.15;93.96;94.15;168
310324;222000;94.08;94.08;94.08;94.08;87
310324;222100;93.95;93.95;93.92;93.92;198
310324;222200;93.88;93.88;93.88;93.88;95
310324;222300;94.01;94.06;93.76;94.06;1548.0372023
310324;222400;94.07;94.07;94.07;94.07;68
310324;222500;94.12;94.12;94.12;94.12;110
310324;222600;94.06;94.06;94.06;94.06;67
310324;222700;94.05;94.05;94.05;94.05;84
310324;222800;94.07;94.21;94.07;94.21;190
310324;222900;93.77;94.15;93.76;93.76;527.86685046
310324;223000;94;94;94;94;65
310324;223100;94.24;94.24;94.24;94.24;98
310324;223200;94;94;94;94;63
310324;223400;94.02;94.02;94.02;94.02;87
310324;223500;94.12;94.12;94.12;94.12;97
310324;223600;94.24;94.24;94.15;94.15;180
310324;223700;94.24;94.25;94.24;94.25;195
310324;223800;94.08;94.08;94.08;94.08;59
310324;223900;94.06;94.06;94.06;94.06;79
310324;224000;94.03;94.03;94.03;94.03;103
310324;224100;94.24;94.26;94.24;94.26;203
310324;224200;94.07;94.07;94.07;94.07;108
310324;224300;94.01;94.01;94.01;94.01;100
310324;224400;94.25;94.25;93.99;93.99;207
310324;224500;94.07;94.07;94.07;94.07;91
310324;224600;94.1;94.1;94.1;94.1;67
